label,x,y
1,200.27,17.32
2,220.27,8.04
3,240.27,1.51
4,260.27,1.37
5,280.27,15.11
6,300.27,15.11
7,320.27,8.58
8,340.27,1.96
9,360.27,19.45
10,380.27,1.52
11,400.27,12.99
12,420.27,0.22
13,440.27,14.1
14,460.27,7.96
15,480.27,16.9
16,500.27,1.17
17,520.27,11.9
18,540.27,8.04
19,560.27,19.3
20,580.27,14.02
21,600.27,0.45
22,620.27,9.53
23,640.27,10.92
24,660.27,7.73
25,680.27,18.28
26,700.27,6.65
27,720.27,16.73
28,740.27,6.2
29,760.27,1.15
30,780.27,4.53
31,200.27,21.46
32,220.27,29.18
33,240.27,38.51
34,260.27,35.36
35,280.27,25.15
36,300.27,38.4
37,320.27,39
38,340.27,28.49
39,360.27,37.28
40,380.27,20.89
41,400.27,39.72
42,420.27,32.53
43,440.27,32.34
44,460.27,38.09
45,480.27,31.3
46,500.27,30.2
47,520.27,36.67
48,540.27,24.04
49,560.27,36.22
50,580.27,20.33
51,600.27,31.41
52,620.27,24.71
53,640.27,28.07
54,660.27,21.37
55,680.27,29.18
56,700.27,27.97
57,720.27,34.81
58,740.27,25.31
59,760.27,26.13
60,780.27,26.37
61,200.27,42.63
62,220.27,56.69
63,240.27,49.22
64,260.27,57.75
65,280.27,41.84
66,300.27,43.31
67,320.27,59.7
68,340.27,45.58
69,360.27,41.48
70,380.27,53.69
71,400.27,45.11
72,420.27,54.2
73,440.27,51.59
74,460.27,57.91
75,480.27,45.6
76,500.27,50.72
77,520.27,46.04
78,540.27,54.86
79,560.27,45.37
80,580.27,50.34
81,600.27,48.56
82,620.27,56.63
83,640.27,46.04
84,660.27,50.34
85,680.27,49.29
86,700.27,47.09
87,720.27,56.09
88,740.27,46.96
89,760.27,40.48
90,780.27,44.34
91,200.27,65.57
92,220.27,74.81
93,240.27,65.95
94,260.27,65.84
95,280.27,74.31
96,300.27,76.79
97,320.27,72.58
98,340.27,76.24
99,360.27,69.6
100,380.27,68.59
101,400.27,66.06
102,420.27,79.1
103,440.27,61.22
104,460.27,73.02
105,480.27,61.21
